day,month,year,bin.id,vase.id,loc.id,com.id,paired.com.id,diversity.treatment,depth,disease.treatment,family.id,table,tray,cell.id,color,alive,shoot.no,length.1,length.2,length.3,length.4,length.5,length.6,length.7,Notes
28,july,2017,1,1,1,V13,V13,mono,shallow,disease,S10,1,5,5E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,1,2,V13,V13,mono,shallow,disease,S10,2,12,7A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,1,3,V13,V13,mono,shallow,disease,S10,2,13,2D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,1,4,V13,V13,mono,shallow,disease,S10,1,8,4E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,2,1,V62,V61,poly,mid,control,M11,2,15,1D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,2,2,V62,V61,poly,mid,control,M8,1,2,1B,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,2,3,V62,V61,poly,mid,control,M7,2,14,1A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,2,4,V62,V61,poly,mid,control,M3,1,6,11E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,3,1,V117,V117,poly,mix,disease,M3,2,16,6B,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,3,2,V117,V117,poly,mix,disease,S3,2,13,1F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,3,3,V117,V117,poly,mix,disease,D2,1,7,3D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,3,4,V117,V117,poly,mix,disease,M8,1,1,2D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,4,1,V14,V13,mono,shallow,control,S10,2,14,9F,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,4,2,V14,V13,mono,shallow,control,S10,1,4,9A,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,4,3,V14,V13,mono,shallow,control,S10,1,1,5A,blue,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,1,4,4,V14,V13,mono,shallow,control,S10,2,16,10D,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,5,1,V118,V117,poly,mix,control,M3,2,9,7A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,5,2,V118,V117,poly,mix,control,S3,2,9,12D,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,1,5,3,V118,V117,poly,mix,control,D2,1,4,8A,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,5,4,V118,V117,poly,mix,control,M8,1,6,9A,purple,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,1,6,1,V26,V25,poly,shallow,control,S12,1,5,12A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,6,2,V26,V25,poly,shallow,control,S3,1,5,5F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,6,3,V26,V25,poly,shallow,control,S6,2,10,7D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,6,4,V26,V25,poly,shallow,control,S1,2,9,3C,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,7,1,V98,V97,poly,deep,control,D2,2,15,8A,pink,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,1,7,2,V98,V97,poly,deep,control,D3,2,14,4B,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,7,3,V98,V97,poly,deep,control,D4,1,3,3F,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,7,4,V98,V97,poly,deep,control,D11,1,1,8E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,8,1,V97,V97,poly,deep,disease,D2,2,16,11D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,8,2,V97,V97,poly,deep,disease,D3,2,9,4F,yellow,0,NA,NA,NA,NA,NA,NA,NA,NA,dead
28,july,2017,1,8,3,V97,V97,poly,deep,disease,D4,1,5,9D,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,8,4,V97,V97,poly,deep,disease,D11,1,8,5E,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,9,1,V25,V25,poly,shallow,disease,S12,1,8,9E,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,9,2,V25,V25,poly,shallow,disease,S3,1,2,6E,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,9,3,V25,V25,poly,shallow,disease,S6,2,16,8E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,9,4,V25,V25,poly,shallow,disease,S1,2,16,6C,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,10,1,V61,V61,poly,mid,disease,M11,2,16,8A,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,10,2,V61,V61,poly,mid,disease,M8,1,7,1F,yellow,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,10,3,V61,V61,poly,mid,disease,M7,2,14,3E,blue,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,1,10,4,V61,V61,poly,mid,disease,M3,1,5,3F,purple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,july,2017,2,11,1,V48,V47,mono,mid,control,M9,1,5,4D,pink,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
