"","bin.id","paired.com.id","vase.id","loc.id","diversity.treatment","depth","disease.treatment","family.id","color","alive"
"1",2,"V47",11,1,"mono","mid","control","M9","pink",1
"2",2,"V47",11,2,"mono","mid","control","M9","yellow",1
"3",2,"V47",14,2,"mono","mid","disease","M9","yellow",1
"4",2,"V47",14,3,"mono","mid","disease","M9","blue",1
"5",2,"V17",18,1,"mono","shallow","control","S12","pink",1
"6",2,"V17",18,2,"mono","shallow","control","S12","yellow",1
"7",2,"V17",18,3,"mono","shallow","control","S12","blue",1
"8",2,"V17",19,2,"mono","shallow","disease","S12","yellow",1
"9",2,"V17",19,4,"mono","shallow","disease","S12","purple",1
"10",3,"V49",24,2,"mono","mid","disease","M10","yellow",1
"11",3,"V49",24,3,"mono","mid","disease","M10","blue",1
"12",3,"V49",24,4,"mono","mid","disease","M10","purple",1
"13",3,"V49",26,1,"mono","mid","control","M10","pink",1
"14",3,"V49",26,3,"mono","mid","control","M10","blue",1
"15",3,"V49",26,4,"mono","mid","control","M10","purple",1
"16",4,"V11",31,1,"mono","shallow","control","S6","pink",1
"17",4,"V11",31,4,"mono","shallow","control","S6","purple",1
"18",4,"V11",32,2,"mono","shallow","disease","S6","yellow",1
"19",4,"V11",32,4,"mono","shallow","disease","S6","purple",1
"20",4,"V37",33,1,"mono","mid","disease","M3","pink",1
"21",4,"V37",33,2,"mono","mid","disease","M3","yellow",1
"22",4,"V37",33,3,"mono","mid","disease","M3","blue",1
"23",4,"V37",33,4,"mono","mid","disease","M3","purple",1
"24",4,"V37",38,2,"mono","mid","control","M3","yellow",1
"25",4,"V37",38,3,"mono","mid","control","M3","blue",1
"26",4,"V37",38,4,"mono","mid","control","M3","purple",1
"27",5,"V89",42,2,"mono","deep","control","D11","yellow",1
"28",5,"V89",42,4,"mono","deep","control","D11","purple",1
"29",5,"V89",44,1,"mono","deep","disease","D11","pink",1
"30",5,"V89",44,2,"mono","deep","disease","D11","yellow",1
"31",5,"V89",44,3,"mono","deep","disease","D11","blue",1
"32",5,"V53",45,2,"mono","mid","control","M12","yellow",1
"33",5,"V53",45,3,"mono","mid","control","M12","blue",1
"34",5,"V53",46,1,"mono","mid","disease","M12","pink",1
"35",5,"V53",46,2,"mono","mid","disease","M12","yellow",1
"36",5,"V53",46,3,"mono","mid","disease","M12","blue",1
"37",5,"V53",46,4,"mono","mid","disease","M12","purple",1
"38",6,"V77",54,2,"mono","deep","disease","D3","yellow",1
"39",6,"V77",54,3,"mono","deep","disease","D3","blue",1
"40",6,"V77",56,1,"mono","deep","control","D3","pink",1
"41",6,"V77",56,2,"mono","deep","control","D3","yellow",1
"42",6,"V77",56,3,"mono","deep","control","D3","blue",1
"43",6,"V77",56,4,"mono","deep","control","D3","purple",1
"44",7,"V43",61,1,"mono","mid","disease","M7","pink",1
"45",7,"V43",61,4,"mono","mid","disease","M7","purple",1
"46",7,"V41",65,2,"mono","mid","disease","M6","yellow",1
"47",7,"V41",65,4,"mono","mid","disease","M6","purple",1
"48",7,"V41",66,1,"mono","mid","control","M6","pink",1
"49",7,"V41",66,2,"mono","mid","control","M6","yellow",1
"50",7,"V41",66,3,"mono","mid","control","M6","blue",1
"51",7,"V41",66,4,"mono","mid","control","M6","purple",1
"52",7,"V43",69,1,"mono","mid","control","M7","pink",1
"53",7,"V43",69,2,"mono","mid","control","M7","yellow",1
"54",7,"V43",69,4,"mono","mid","control","M7","purple",1
"55",8,"V15",73,1,"mono","shallow","control","S11","pink",1
"56",8,"V15",73,3,"mono","shallow","control","S11","blue",1
"57",8,"V15",74,1,"mono","shallow","disease","S11","pink",1
"58",8,"V15",74,3,"mono","shallow","disease","S11","blue",1
"59",8,"V83",75,1,"mono","deep","disease","D8","pink",1
"60",8,"V83",75,2,"mono","deep","disease","D8","yellow",1
"61",8,"V83",75,3,"mono","deep","disease","D8","blue",1
"62",8,"V83",79,1,"mono","deep","control","D8","pink",1
"63",8,"V83",79,2,"mono","deep","control","D8","yellow",1
"64",8,"V83",79,4,"mono","deep","control","D8","purple",1
"65",9,"V39",82,1,"mono","mid","control","M4","pink",1
"66",9,"V39",82,3,"mono","mid","control","M4","blue",1
"67",9,"V5",85,1,"mono","shallow","disease","S3","pink",1
"68",9,"V5",85,2,"mono","shallow","disease","S3","yellow",1
"69",9,"V5",85,3,"mono","shallow","disease","S3","blue",1
"70",9,"V5",85,4,"mono","shallow","disease","S3","purple",1
"71",9,"V39",89,1,"mono","mid","disease","M4","pink",1
"72",9,"V39",89,2,"mono","mid","disease","M4","yellow",1
"73",9,"V39",89,4,"mono","mid","disease","M4","purple",1
"74",9,"V5",90,1,"mono","shallow","control","S3","pink",1
"75",9,"V5",90,2,"mono","shallow","control","S3","yellow",1
"76",9,"V5",90,4,"mono","shallow","control","S3","purple",1
"77",10,"V87",92,1,"mono","deep","disease","D10","pink",1
"78",10,"V87",92,2,"mono","deep","disease","D10","yellow",1
"79",10,"V87",92,3,"mono","deep","disease","D10","blue",1
"80",10,"V87",92,4,"mono","deep","disease","D10","purple",1
"81",10,"V79",93,1,"mono","deep","disease","D4","pink",1
"82",10,"V79",93,2,"mono","deep","disease","D4","yellow",1
"83",10,"V79",93,3,"mono","deep","disease","D4","blue",1
"84",10,"V79",93,4,"mono","deep","disease","D4","purple",1
"85",10,"V87",96,1,"mono","deep","control","D10","pink",1
"86",10,"V87",96,3,"mono","deep","control","D10","blue",1
"87",10,"V79",97,1,"mono","deep","control","D4","pink",1
"88",10,"V79",97,2,"mono","deep","control","D4","yellow",1
"89",11,"V81",102,3,"mono","deep","control","D6","blue",1
"90",11,"V81",102,4,"mono","deep","control","D6","purple",1
"91",11,"V81",109,3,"mono","deep","disease","D6","blue",1
"92",11,"V81",109,4,"mono","deep","disease","D6","purple",1
"93",12,"V1",112,2,"mono","shallow","disease","S1","yellow",1
"94",12,"V1",112,3,"mono","shallow","disease","S1","blue",1
"95",12,"V1",112,4,"mono","shallow","disease","S1","purple",1
"96",12,"V1",116,1,"mono","shallow","control","S1","pink",1
"97",12,"V1",116,2,"mono","shallow","control","S1","yellow",1
"98",12,"V1",116,3,"mono","shallow","control","S1","blue",1
"99",12,"V1",116,4,"mono","shallow","control","S1","purple",1
