"","bin.id","paired.com.id","vase.id","loc.id","diversity.treatment","depth","family.id","color","alive"
"1",1,"V61",2,2,"poly","mid","M8","yellow",1
"2",1,"V61",2,3,"poly","mid","M7","blue",1
"3",1,"V61",2,4,"poly","mid","M3","purple",1
"4",1,"V25",6,1,"poly","shallow","S12","pink",1
"5",1,"V25",6,2,"poly","shallow","S3","yellow",1
"6",1,"V25",6,3,"poly","shallow","S6","blue",1
"7",1,"V97",8,1,"poly","deep","D2","pink",1
"8",1,"V97",8,3,"poly","deep","D4","blue",1
"9",1,"V97",8,4,"poly","deep","D11","purple",1
"10",1,"V25",9,1,"poly","shallow","S12","pink",1
"11",1,"V25",9,3,"poly","shallow","S6","blue",1
"12",2,"V109",17,1,"poly","mix","S11","pink",1
"13",2,"V109",17,4,"poly","mix","S12","purple",1
"14",2,"V109",20,2,"poly","mix","M9","yellow",1
"15",2,"V109",20,4,"poly","mix","S12","purple",1
"16",3,"V101",21,1,"poly","deep","D11","pink",1
"17",3,"V101",21,2,"poly","deep","D9","yellow",1
"18",3,"V101",21,3,"poly","deep","D4","blue",1
"19",3,"V101",21,4,"poly","deep","D10","purple",1
"20",3,"V71",22,1,"poly","mid","M9","pink",1
"21",3,"V71",22,3,"poly","mid","M12","blue",1
"22",3,"V71",22,4,"poly","mid","M6","purple",1
"23",3,"V71",23,1,"poly","mid","M9","pink",1
"24",3,"V71",23,2,"poly","mid","M10","yellow",1
"25",3,"V71",23,3,"poly","mid","M12","blue",1
"26",3,"V71",23,4,"poly","mid","M6","purple",1
"27",3,"V55",25,1,"poly","mid","M11","pink",1
"28",3,"V55",25,2,"poly","mid","M12","yellow",1
"29",3,"V55",25,3,"poly","mid","M4","blue",1
"30",3,"V55",25,4,"poly","mid","M3","purple",1
"31",3,"V55",29,2,"poly","mid","M12","yellow",1
"32",3,"V55",29,4,"poly","mid","M3","purple",1
"33",4,"V63",34,2,"poly","mid","M6","yellow",1
"34",4,"V63",34,3,"poly","mid","M4","blue",1
"35",4,"V63",34,4,"poly","mid","M11","purple",1
