bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,survival.1month,shoot.no.1month,total.length.1month,infected.shoot.length.1month,mono.viable?,Shoot.Paired.exact?,two.shoots.paired,Vase.Paired.Exact?,Vase.Paired.Initial
9,V39,M4,89,1,mono,control,mid,M4,pink,1,1,2.5,2.5,0,0,0,0,0,NA,NA,NA,NA,-1,-1,-2.5,-100,NA,NA,NA,NA,NA
10,V87,D10,92,1,mono,control,deep,D10,pink,1,1,7,7,0,0,0,0,0,NA,NA,NA,NA,-1,-1,-7,-100,NA,NA,NA,NA,NA
12,V1,S1,116,3,mono,disease,shallow,S1,blue,1,1,24,24,1,1,1,4,4,0,NA,NA,NA,0,0,-20,-83.33333333,NA,NA,NA,NA,NA
1,V97,DP5,8,4,poly,disease,deep,D11,purple,1,1,9.5,9.5,0,1,1,2,2,NA,NA,NA,NA,0,0,-7.5,-78.94736842,1,1,1,0,0
6,V77,D3,56,4,mono,control,deep,D3,purple,1,1,9,9,0,1,1,2,2,NA,NA,NA,NA,0,0,-7,-77.77777778,NA,NA,NA,NA,NA
4,V113,MIX2,37,2,poly,disease,mix,M12,yellow,1,2,88,69.5,1,1,1,16,16,1,8,8,16,0,-1,-72,-76.97841727,1,0,0,0,0
11,V81,D6,102,3,mono,disease,deep,D6,blue,1,1,22,22,1,1,1,6,6,1,1,1,2,0,0,-16,-72.72727273,NA,NA,NA,NA,NA
6,V33,SP4,52,1,poly,control,shallow,S12,pink,1,1,6.5,6.5,0,1,1,2,2,0,NA,NA,NA,0,0,-4.5,-69.23076923,1,0,0,0,0
4,V37,M3,33,3,mono,disease,mid,M3,blue,1,1,12,12,1,1,1,4,4,1,3,7,10,0,0,-8,-66.66666667,NA,NA,NA,NA,NA
4,V11,S6,31,1,mono,control,shallow,S6,pink,1,1,116,116,0,1,1,45,45,NA,NA,NA,NA,0,0,-71,-61.20689655,NA,NA,NA,NA,NA
2,V17,S12,19,2,mono,disease,shallow,S12,yellow,1,4,199.5,86.5,1,1,4,148,34,1,3,1.5,4.5,0,0,-51.5,-60.69364162,NA,NA,NA,NA,NA
1,V25,SP1,9,1,poly,disease,shallow,S12,pink,1,2,94.5,68.5,1,1,2,52,27,1,11,2,13,0,0,-42.5,-60.58394161,1,1,1,0,1
10,V107,DP3,100,1,poly,disease,deep,D4,pink,1,1,45.5,45.5,1,1,1,18,18,1,1,1,2,0,0,-27.5,-60.43956044,1,1,1,1,1
10,V79,D4,93,3,mono,disease,deep,D4,blue,1,1,17.5,17.5,1,1,1,7,7,1,3,2,5,0,0,-10.5,-60,NA,NA,NA,NA,NA
3,V101,DP5,21,1,poly,control,deep,D11,pink,1,1,23,23,0,1,1,10,10,NA,NA,NA,NA,0,0,-13,-56.52173913,1,1,1,0,0
1,V25,SP1,6,2,poly,control,shallow,S3,yellow,1,1,42.5,42.5,0,1,1,19,19,0,NA,NA,NA,0,0,-23.5,-55.29411765,1,0,1,0,1
4,V59,MP3,35,1,poly,control,mid,M6,pink,1,1,21,21,0,1,1,10,10,NA,NA,NA,NA,0,0,-11,-52.38095238,1,0,1,0,1
9,V39,M4,89,2,mono,control,mid,M4,yellow,1,1,6.5,6.5,0,1,1,4,4,0,NA,NA,NA,0,0,-2.5,-38.46153846,NA,NA,NA,NA,NA
4,V37,M3,38,3,mono,control,mid,M3,blue,1,2,38.5,27.5,0,1,4,34,17,0,NA,NA,NA,0,2,-4.5,-38.18181818,NA,NA,NA,NA,NA
9,V5,S3,90,1,mono,control,shallow,S3,pink,1,1,22,22,0,1,1,14,14,0,NA,NA,NA,0,0,-8,-36.36363636,NA,NA,NA,NA,NA
1,V61,MP5,2,4,poly,control,mid,M3,purple,1,1,36,36,0,1,1,23,23,0,NA,NA,NA,0,0,-13,-36.11111111,1,0,0,0,0
4,V59,MP3,35,3,poly,control,mid,M4,blue,1,1,12.5,12.5,0,1,1,8,8,NA,NA,NA,NA,0,0,-4.5,-36,1,0,1,0,1
3,V49,M10,24,2,mono,control,mid,M10,yellow,1,2,92.5,59,0,1,2,59,38,0,NA,NA,NA,0,0,-33.5,-35.59322034,NA,NA,NA,NA,NA
3,V49,M10,26,4,mono,disease,mid,M10,purple,1,1,37,37,1,1,1,24,24,1,1,0,1,0,0,-13,-35.13513514,NA,NA,NA,NA,NA
10,V107,DP3,100,2,poly,disease,deep,D10,yellow,1,3,125,74,1,1,4,102,50,1,1,1,2,0,1,-23,-32.43243243,1,1,1,1,1
10,V107,DP3,91,2,poly,control,deep,D10,yellow,1,1,51,51,0,1,1,35,35,0,NA,NA,NA,0,0,-16,-31.37254902,1,1,1,1,1
1,V25,SP1,6,3,poly,control,shallow,S6,blue,1,1,22.5,22.5,0,1,1,15.5,15.5,0,NA,NA,NA,0,0,-7,-31.11111111,1,1,1,0,1
6,V33,SP4,52,4,poly,control,shallow,S5,purple,1,1,24.5,24.5,0,1,1,17,17,0,NA,NA,NA,0,0,-7.5,-30.6122449,0,0,0,0,0
11,V69,MP4,106,4,poly,disease,mid,M12,purple,1,2,70,59,1,1,2,54,41,1,7,7.5,14.5,0,0,-16,-30.50847458,1,1,0,0,1
2,V17,S12,18,1,mono,control,shallow,S12,pink,1,1,20,20,0,1,1,14,14,0,NA,NA,NA,0,0,-6,-30,NA,NA,NA,NA,NA
12,V1,S1,112,2,mono,control,shallow,S1,yellow,1,1,13.5,13.5,0,1,1,9.5,9.5,0,NA,NA,NA,0,0,-4,-29.62962963,NA,NA,NA,NA,NA
8,V23,SP3,71,4,poly,control,shallow,S3,purple,1,2,124.5,67.5,0,1,2,62,48,0,NA,NA,NA,0,0,-62.5,-28.88888889,1,1,1,0,1
10,V79,D4,97,1,mono,control,deep,D4,pink,1,1,36,36,0,1,1,26,26,1,0,0.5,0.5,0,0,-10,-27.77777778,NA,NA,NA,NA,NA
3,V49,M10,26,3,mono,disease,mid,M10,blue,1,2,92,78,1,1,1,57,57,1,1.5,0,1.5,0,-1,-35,-26.92307692,NA,NA,NA,NA,NA
1,V97,DP5,8,1,poly,disease,deep,D2,pink,1,1,9.5,9.5,1,1,1,7,7,NA,NA,NA,NA,0,0,-2.5,-26.31578947,0,0,1,0,0
3,V55,MP1,25,4,poly,disease,mid,M3,purple,1,1,35,35,1,1,1,26,26,1,19,2.5,21.5,0,0,-9,-25.71428571,1,1,1,0,1
9,V39,M4,89,4,mono,control,mid,M4,purple,1,1,43,43,0,1,1,32,32,0,NA,NA,NA,0,0,-11,-25.58139535,NA,NA,NA,NA,NA
