bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
1,V61,MP5,2,1,poly,control,mid,M11,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1,V25,SP1,6,4,poly,control,shallow,S1,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1,V97,DP5,8,2,poly,disease,deep,D9,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1,V25,SP1,9,2,poly,disease,shallow,S3,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1,V25,SP1,9,4,poly,disease,shallow,S1,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V47,M9,11,3,mono,disease,mid,M9,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V47,M9,11,4,mono,disease,mid,M9,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V47,M9,14,1,mono,control,mid,M9,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V47,M9,14,4,mono,control,mid,M9,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V17,S12,18,4,mono,control,shallow,S12,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V17,S12,19,1,mono,disease,shallow,S12,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,V17,S12,19,3,mono,disease,shallow,S12,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,V71,MP2,22,2,poly,control,mid,M10,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,V49,M10,24,1,mono,control,mid,M10,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,V49,M10,26,2,mono,disease,mid,M10,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,V55,MP1,29,1,poly,control,mid,M11,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,V55,MP1,29,3,poly,control,mid,M4,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V11,S6,31,2,mono,control,shallow,S6,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V11,S6,31,3,mono,control,shallow,S6,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V11,S6,32,1,mono,disease,shallow,S6,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V11,S6,32,3,mono,disease,shallow,S6,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V63,MP5,34,1,poly,disease,mid,M8,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V63,MP5,34,2,poly,disease,mid,M6,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
4,V59,MP3,36,1,poly,disease,mid,M6,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V59,MP3,36,3,poly,disease,mid,M4,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V113,MIX2,37,4,poly,disease,mix,S3,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,V37,M3,38,1,mono,control,mid,M3,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V93,DP1,41,3,poly,control,deep,D6,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V89,D11,42,1,mono,control,deep,D11,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V89,D11,42,3,mono,control,deep,D11,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V121,MIX2,43,2,poly,control,mix,D2,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
5,V89,D11,44,4,mono,disease,deep,D11,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V53,M12,45,1,mono,disease,mid,M12,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V53,M12,45,4,mono,disease,mid,M12,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V125,MIX1,47,1,poly,disease,mix,D2,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V125,MIX1,47,2,poly,disease,mix,M6,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V125,MIX1,47,3,poly,disease,mix,S11,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
5,V125,MIX1,49,4,poly,control,mix,D10,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,V93,DP1,50,3,poly,disease,deep,D6,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,V91,DP2,51,2,poly,disease,deep,D3,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
6,V33,SP4,52,3,poly,control,shallow,S3,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,V77,D3,54,1,mono,disease,deep,D3,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,V77,D3,54,4,mono,disease,deep,D3,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,V77,D3,56,2,mono,control,deep,D3,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,V43,M7,61,2,mono,disease,mid,M7,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,V43,M7,61,3,mono,disease,mid,M7,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,V41,M6,65,1,mono,control,mid,M6,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,V43,M7,69,3,mono,control,mid,M7,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V23,SP3,72,2,poly,disease,shallow,S5,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V23,SP3,72,3,poly,disease,shallow,S11,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V15,S11,73,2,mono,control,shallow,S11,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V15,S11,73,4,mono,control,shallow,S11,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V15,S11,74,2,mono,disease,shallow,S11,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V15,S11,74,4,mono,disease,shallow,S11,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
